[DEBUG] AddStep | text=add-step | len=4 | hex=01000000
[DEBUG] RemoveStep | text=remove-step step-id=s | len=9 | hex=010101017301000600
[DEBUG] MoveStep | text=move-step step-id=s index=2 | len=12 | hex=010201017302000600010402
[DEBUG] AddBlock-None | text=add-block kind=text | len=12 | hex=010301047465787401000600
[DEBUG] AddBlock-Some | text=add-block kind=note step-id=s | len=17 | hex=010302046e6f7465017302000600010601
[DEBUG] RemoveBlock | text=remove-block step-id=s block-id=b | len=14 | hex=0104020162017302000601010600
[DEBUG] MoveBlock | text=move-block block-id=b from-step-id=s1 to-step-id=s2 index=0 | len=24 | hex=010503016202733102733204000600010601020602030400
[DEBUG] UpdatePlaybook | text=update-playbook value=Recipe | len=14 | hex=0106010652656369706501000600
[DEBUG] SetSelection | text=set-selection ids=[ a b ] | len=15 | hex=0107020161016201000c0206000601
[DEBUG] SetLocale | text=locale value=de-DE | len=13 | hex=0108010564652d444501000600
[DEBUG] op:remove_step_operation | text=remove-step step-id=s | len=9 | hex=010101017301000600
[DEBUG] op:move_step_operation | text=move-step step-id=s index=1 | len=12 | hex=010201017302000600010401
[DEBUG] op:update_playbook_title_operation | text=update-playbook title=Recipe | len=14 | hex=0108010652656369706501000600
