  os-state-authority/id-minting  ✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:63  "✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:63" mints ids via AtomicU32/64 outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:68  "✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:68" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:74  "✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:74" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:75  "✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:75" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:1876  "✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:1876" uses thread_local! outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:1879  "✏️s/🔌️plugins/🧩️puzzle/🎛️apps/🧊️3d/🦀️component.rs:1879" declares item-scope RefCell<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/📚️examples/🌲️concrete-forest/🦀️component.rs:41  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/📚️examples/🌲️concrete-forest/🦀️component.rs:41" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/📚️examples/🏗️nakagin-capsule-tower/🦀️component.rs:41  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/◻2d/📚️examples/🏗️nakagin-capsule-tower/🦀️component.rs:41" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/📚️examples/🌙️capsule-dream/🦀️component.rs:40  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/📚️examples/🌙️capsule-dream/🦀️component.rs:40" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/📚️examples/🌲️concrete-forest/🦀️component.rs:37  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/📚️examples/🌲️concrete-forest/🦀️component.rs:37" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/📚️examples/🏗️nakagin-capsule-tower/🦀️component.rs:37  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🖐️5d/📚️examples/🏗️nakagin-capsule-tower/🦀️component.rs:37" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/📚️examples/🌲️concrete-forest/🦀️component.rs:37  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/📚️examples/🌲️concrete-forest/🦀️component.rs:37" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/📚️examples/🏗️nakagin-capsule-tower/🦀️component.rs:37  "✏️s/🔌️plugins/🧩️puzzle/🗿️artifacts/🧊️3d/📚️examples/🏗️nakagin-capsule-tower/🦀️component.rs:37" declares item-scope LazyLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧱️block/🗿️artifacts/◻2d/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🧱️block/🗿️artifacts/◻2d/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧱️block/🗿️artifacts/◻2d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🧱️block/🗿️artifacts/◻2d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧱️block/🗿️artifacts/🖐️5d/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🧱️block/🗿️artifacts/🖐️5d/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧱️block/🗿️artifacts/🖐️5d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🧱️block/🗿️artifacts/🖐️5d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧱️block/🗿️artifacts/🧊️3d/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🧱️block/🗿️artifacts/🧊️3d/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🧱️block/🗿️artifacts/🧊️3d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🧱️block/🗿️artifacts/🧊️3d/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪐️space/🎛️apps/🪐️space/🦀️component.rs:568  "✏️s/🔌️plugins/🪐️space/🎛️apps/🪐️space/🦀️component.rs:568" uses thread_local! outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪐️space/🎛️apps/🪐️space/🦀️component.rs:569  "✏️s/🔌️plugins/🪐️space/🎛️apps/🪐️space/🦀️component.rs:569" declares item-scope RefCell<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪐️space/🗿️artifacts/🏠️home/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🪐️space/🗿️artifacts/🏠️home/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪐️space/🗿️artifacts/🏠️home/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🪐️space/🗿️artifacts/🏠️home/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🎹️composer/🦀️component.rs:7  "✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🎹️composer/🦀️component.rs:7" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🏅️standards/🔖️1/⚙️engine/🦀️component.rs:541  "✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🏅️standards/🔖️1/⚙️engine/🦀️component.rs:541" declares item-scope Mutex<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🏅️standards/🔖️1/⚙️engine/🦀️component.rs:542  "✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🏅️standards/🔖️1/⚙️engine/🦀️component.rs:542" declares item-scope Mutex<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8  "✏️s/🔌️plugins/🪵️sourcing/🗿️artifacts/🗂️curate/🏅️standards/🔖️1/🎹️composer/🦀️component.rs:8" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:44  "✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:44" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:45  "✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:45" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:46  "✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:46" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  ✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:47  "✏️s/🔨️modules/📜️imperative/📇️registry/🦀️component.rs:47" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  🧰️framework/🔨️modules/🚪️io/🦀️component.rs:199  "🧰️framework/🔨️modules/🚪️io/🦀️component.rs:199" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  🧰️framework/🔨️modules/🚪️io/🦀️component.rs:284  "🧰️framework/🔨️modules/🚪️io/🦀️component.rs:284" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  🧰️framework/🔨️modules/🚪️io/🦀️component.rs:368  "🧰️framework/🔨️modules/🚪️io/🦀️component.rs:368" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/item-scope-global  🧰️framework/🔨️modules/🚪️io/🦀️component.rs:564  "🧰️framework/🔨️modules/🚪️io/🦀️component.rs:564" declares item-scope OnceLock<…> outside the OS product
  os-state-authority/authority-struct-map  🧰️framework/🔨️modules/🧬️schema/🦀️component.rs:118  "🧰️framework/🔨️modules/🧬️schema/🦀️component.rs:118" ArtifactSchemaRegistry holds a HashMap/BTreeMap field outside the OS product
  os-state-authority/authority-struct-map  🧰️framework/🔨️modules/🧬️schema/🦀️component.rs:291  "🧰️framework/🔨️modules/🧬️schema/🦀️component.rs:291" ArtifactInferenceRegistry holds a HashMap/BTreeMap field outside the OS product
  os-state-authority/authority-struct-map  🧰️framework/🔨️modules/🧬️schema/🦀️component.rs:382  "🧰️framework/🔨️modules/🧬️schema/🦀️component.rs:382" AppSchemaRegistry holds a HashMap/BTreeMap field outside the OS product
  budget/no-budget-null  📜️script.ts:3875  "📜️script.ts:3875" passes budgetMs: null — use orchestratorBudgetOpts() or daemonBudgetOpts() instead
  budget/no-budget-null  📜️script.ts:3892  "📜️script.ts:3892" passes budgetMs: null — use orchestratorBudgetOpts() or daemonBudgetOpts() instead
  budget/no-budget-null  📜️script.ts:3897  "📜️script.ts:3897" passes budgetMs: null — use orchestratorBudgetOpts() or daemonBudgetOpts() instead
  budget/no-budget-null  📜️script.ts:3898  "📜️script.ts:3898" passes budgetMs: null — use orchestratorBudgetOpts() or daemonBudgetOpts() instead

full breach set (including non-blocking priorities): /Users/ueli/Documents/semio/.🦑️repo/⚡️cache/breaches/compose.json
