⏸️switches-self-weight-off-for-the-dead-case	⏸️switches-self-7e0cda
♻️converts-beam-e1-into-a-bar-in-place	♻️converts-beam-e1-into-a-5d21f5
⚖️switches-self-weight-on-for-the-dead-case	⚖️switches-self-abbff2
✂️removes-the-serviceability-combination-and-keeps-both-cases	✂️removes-the-182f7b
✂️removes-the-uls-combination-and-keeps-both-cases	✂️removes-the-uls-438c0c
➖️appends-bar-e2-between-n2-and-n3	➖️appends-bar-e2-between-fc1c09
➖️drops-the-trailing-member-udl-from-the-dead-case	➖️drops-the-trailing-member-b73b25
➖️strips-the-trailing-member-udl-from-the-dead-case	➖️strips-the-trailing-member-133914
🌀️raises-the-torsion-constant-of-hea200	🌀️raises-the-torsion-296ef0
🌬️appends-a-wind-case-pushing-on-the-column-head	🌬️appends-a-wind-case-a6c267
🏗️restates-steel-as-s355-in-its-original-slot	🏗️restates-steel-7c22bc
🏠️lays-an-area-pressure-over-the-roof-slab	🏠️lays-an-area-pressure-over-769710
💪️stiffens-ipe200-with-a-reinforced-profile	💪️stiffens-ipe200-with-5e9c08
📉️softens-the-steel-shear-modulus-in-place	📉️softens-the-2cd183
📍️appends-a-live-case-carrying-one-nodal-load	📍️appends-a-live-case-59118a
📚️thickens-the-slab-and-adds-a-mesh-layer	📚️thickens-the-slab-and-b51ef0
🔄️frees-the-three-rotations-at-the-column-base	🔄️frees-the-three-7783c9
🔄️rolls-the-column-about-its-own-axis	🔄️rolls-the-column-50f732
🔒️clamps-the-column-base-in-all-six-dofs	🔒️clamps-the-column-f801c9
🔒️upgrades-the-roller-at-n2-to-a-full-fixity	🔒️upgrades-the-834e4a
🔓️releases-the-pinned-node-n2	🔓️releases-the-b3ebb0
🔓️releases-the-roller-at-node-n2	🔓️releases-the-82b34f
🔗️appends-a-serviceability-combination-keyed-by-case-id	🔗️appends-a-8ede20
🔗️appends-an-uls-combination-over-both-cases	🔗️appends-an-uls-0c18bb
🔢️doubles-the-buckling-mode-count	🔢️doubles-the-7b5381
🔢️doubles-the-modal-count-and-halves-the-deformation-scale	🔢️doubles-the-modal-3fbb1a
🔳️appends-a-square-hollow-profile	🔳️appends-a-square-bd0e4e
🚫️removes-bar-e2-and-keeps-its-end-nodes	🚫️removes-bar-e2-and-3c0260
🚫️removes-node-n3-without-cascading-to-its-support	🚫️removes-node-n3-without-6eab3f
🚫️removes-the-bracing-bar-and-leaves-the-frame	🚫️removes-the-bracing-be89d2
🚫️removes-the-column-head-node-under-a-live-frame	🚫️removes-the-column-head-056295
🚫️removes-the-live-case-together-with-its-loads	🚫️removes-the-live-06415d
🚫️removes-the-roof-slab-and-keeps-its-material	🚫️removes-the-roof-slab-f0fb64
🚫️removes-the-slab-and-keeps-its-material	🚫️removes-the-slab-and-5b301a
🚫️removes-the-spare-hollow-section	🚫️removes-the-spare-1c235a
🚫️removes-the-spare-square-hollow-profile	🚫️removes-the-spare-30ecfb
🚫️removes-the-unreferenced-aluminium-alloy	🚫️removes-the-b7b56a
🚫️removes-the-unreferenced-timber-material	🚫️removes-the-30f7a2
🚫️removes-the-wind-case-together-with-its-load	🚫️removes-the-wind-caeb06
🛞️adds-a-vertical-roller-at-node-n2	🛞️adds-a-vertical-6161a1
🧱️appends-a-solid-rectangular-slab	🧱️appends-a-solid-d78275
🪙️appends-an-aluminium-alloy	🪙️appends-an-9fdced
🪜️punches-a-stair-opening-through-the-slab	🪜️punches-a-stair-f7b3b1
