2026-09-25T00:31:26.077Z starting port=8030 data=/Users/ueli/Documents/semio/.🧬semio/🦑️repo/🎫️tickets/🎆️26/🌙️09/☀️23/END-TO-END-OS-HUB-COLLABORATION-MCP/wp-g10/hub-8030 bin=/Users/ueli/Documents/semio/.🧬semio/🦑️repo/🎫️tickets/🎆️26/🌙️09/☀️23/END-TO-END-OS-HUB-COLLABORATION-MCP/wp-g10/bin/os-hub
2026-09-25T00:31:26.135Z SPAWNED hold=40569 hub=40570 port=8030 runId=0dc26710f2aba6f35dfb5ffb13596ed2
2026-09-25T00:37:16.999Z HOLD origin=http://127.0.0.1:8030 hub=40570 status=ready
2026-09-25T00:37:17.009Z ADMIN issued session=01a0d5fe-be4c-7867-a2b6-1e057cee6eb6 expiresAt=1790297537004
2026-09-25T00:47:17.019Z ADMIN issued session=01a0d607-e614-72b5-825f-2fe0d039ed39 expiresAt=1790298137012
2026-09-25T00:57:17.018Z ADMIN issued session=01a0d611-0dd4-769a-8480-84c869031dac expiresAt=1790298737012
2026-09-25T01:07:17.016Z ADMIN issued session=01a0d61a-3595-7455-9a4b-4709b8f0fd34 expiresAt=1790299337013
2026-09-25T01:17:17.015Z ADMIN issued session=01a0d623-5d55-78e8-8d59-8d6e84baa398 expiresAt=1790299937013
2026-09-25T01:27:17.019Z ADMIN issued session=01a0d62c-8516-7369-b108-eab2008ce1fa expiresAt=1790300537014
2026-09-25T01:37:17.019Z ADMIN issued session=01a0d635-acd9-7fc0-9000-0a55c5eb4ebd expiresAt=1790301137017
2026-09-25T01:47:17.025Z ADMIN issued session=01a0d63e-d49b-73de-a54d-008886fb6459 expiresAt=1790301737019
2026-09-25T01:57:17.046Z ADMIN issued session=01a0d647-fc6c-70cf-bc59-31803e3b841b expiresAt=1790302337036
2026-09-25T02:07:17.026Z ADMIN issued session=01a0d651-241d-711a-9d37-ae6f8b1d4f85 expiresAt=1790302937021
2026-09-25T02:17:17.020Z ADMIN issued session=01a0d65a-4bda-7af4-8a73-ccd433170a5d expiresAt=1790303537018
2026-09-25T02:27:17.021Z ADMIN issued session=01a0d663-739b-7a5a-bdf0-3e2c0eb74ab5 expiresAt=1790304137019
2026-09-25T02:37:17.023Z ADMIN issued session=01a0d66c-9b5c-7bd6-a758-8aef242f3f75 expiresAt=1790304737020
2026-09-25T02:47:17.024Z ADMIN issued session=01a0d675-c31e-795e-b05f-3a16331249b1 expiresAt=1790305337022
2026-09-25T02:57:17.025Z ADMIN issued session=01a0d67e-eade-7fc0-a844-6f2645908700 expiresAt=1790305937022
2026-09-25T03:07:17.026Z ADMIN issued session=01a0d688-12a0-7d2c-ba75-5a96ba4c6b80 expiresAt=1790306537024
2026-09-25T03:17:17.029Z ADMIN issued session=01a0d691-3a62-759f-9af8-79227deb8b60 expiresAt=1790307137026
2026-09-25T03:27:17.029Z ADMIN issued session=01a0d69a-6223-7b5b-90c0-e95ef874afcb expiresAt=1790307737027
