Symbol,Code,Abbreviation,Name,Description
👥,Bs,Bas,Base,The shared base props for {{NAME}} models.
🧲,Cd,Cnd,Connected,The connected side of the piece of the connection.
🧲,Cg,Cng,Connecting,The connecting side of the piece of the connection.
🖇️,Co,Con,Connection,A connection between two pieces in a design.
🖇️,Co*,Cons,Connections,The optional connections of a design.
⌚,CA,CAt,Created At,The time when the {{NAME}} was created.
💬,Dc?,Dsc,Description,The optional human description of the {{NAME}}.
📖,Df,Def,Definition,The optional definition [ text | url ] of the quality.
✏️,Dg,Dgm,Diagram,The diagram of the design.
📁,Di?,Dir,Directory,The optional directory where to find the kit.
🏅,Dl,Dfl,Default,Whether it is the default representation of the type. There can be only one default representation per type.
➡️,Dr,Drn,Direction,The direction of the port. The direction of the other port will be flipped and then the pieces will be aligned.
🏙️,Dn,Dsn,Design,A design is a collection of pieces that are connected.
🏙️,Dn*,Dsns,Designs,The optional designs of the kit.
🚌,Dt,DTO,Data Transfer Object, The Data Transfer Object (DTO) base of the {{NAME}}.
🪣,Em,Emp,Empty,Empty all props and children of the {{NAME}}.
▢,En,Ent,Entity,An entity is a collection of properties and children.
🔑,FK,FKy,Foreign Key, The foreign primary key of the parent {{PARENT_NAME}} of the {{NAME}} in the database.
↕️,Gp?,Gap,Gap,The optional longitudinal gap (applied after rotation and tilt in port direction) between the connected and the connecting piece. 
🆔,GI,GID,Globally Unique Identifier,A Globally Unique Identifier (GUID) of the entity.
👪,Gr,Grp,Group,The group of the locator.
🏠,Hp?,Hmp,Homepage,The optional url of the homepage of the kit.
🖼️,Ic?,Ico,Icon,The optional icon [ emoji | name | url ] of the {{NAME}}.
🆔,Id,Id,Identifier,The local identifier of the {{NAME}} within the {{PARENT_NAME}}.
🆔,Id?,Id,Identifier,The optional local identifier of the {{NAME}} within the {{PARENT_NAME}}. No id means the default {{NAME}}.
🪪,Id,Id,Identifier,The props to identify the {{NAME}} within the parent {{PARENT_NAME}}.
↘️,In,Inp,Input,The input for a {{NAME}}.
🗃️,Kt,Kit,Kit,A kit is a collection of designs that use types.
🗺️,Lc,Loc,Locator,A locator is metadata for grouping ports.
🗺️,Lc*,Locs,Locators,The optional locators of the port.
🔍,Ld?,Lod,Level of Detail,The optional Level of Detail/Development/Design (LoD) of the representation. No lod means the default lod.
📛,Na,Nam,Name,The name of the {{NAME}}.
✉️,Mm,Mim,Mime,The Multipurpose Internet Mail Extensions (MIME) type of the content of the resource of the representation.
⌱,Og,Org,Origin,The origin of the plane.
↗️,Ou,Out,Output,The output for a {{NAME}}.
👪,Pa,Par,Parent,The parent of {{NAME}}.
⚒️,Pr,Prs,Parse,Parse the {{NAME}} from an input.
