ID	Kategorie	Plattform	Land	Angebotsform	Zugang	DigitalerKanal	PhysischerZugang	Datenfelder	SuchUndAuswahlfunktionen	Beschaffungsschritte	Uebergabe
BB-08	Marktplätze	Materialrest24	Deutschland	n. p.	n. p.	Website	n. p.	n. p.	n. p.	n. p.	n. p.
BB-09	Marktplätze	Restado	Deutschland	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Bilder, Artikelnummer, Preis, Menge, Bestand, Maße, Material, Zustand, Farbe, Marke, Materialstandort, Versandoption	Kategorien, Suche, Filter, Suchbenachrichtigung, Verkäuferverzeichnis	Anfrage, Kauf	Abholung, Lieferung
BB-11	Marktplätze	Articonnex	Frankreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Bilder, Artikelnummer, Preis, Bestand, Maße, Gewicht, Zustand, Materialstandort, Herkunft	Kategorien, Filter, Merkliste	Reservierung, Warenkorb	Abholung, Lieferung
BB-12	Marktplätze	Backacia	Frankreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Artikelnummer, Preis, Menge, Maße, Material, Verfügbarkeit, Materialstandort	Kategorien, Suche	Warenkorb	Abholung
BB-13	Marktplätze	BatRecup	Frankreich	Angebotsübersicht, Detailseite	öffentlich	App	—	Beschreibung, Bilder, Preis, Menge, Maße, Gewicht, Material, Zustand, Farbe, Verfügbarkeit, Materialstandort, Versandoption, Gewährleistung	Kategorien	Zahlung	Abholung, Lieferung
BB-14	Marktplätze	Bâticycle	Frankreich	Angebotsübersicht	öffentlich	Website	Standort	Beschreibung, Bilder, Preis, Menge, Maße, Marke, Verfügbarkeit, Versandoption, Herkunft	Kategorien, Suche	Warenkorb, Bestellung	Abholung, Lieferung
BB-16	Marktplätze	Cycle Zéro	Frankreich	Angebotsübersicht, Detailseite	öffentlich	App	—	Verfügbarkeit, Materialstandort	Kategorien	Reservierung	Abholung
BB-17	Marktplätze	R-Place	Frankreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Preis, Gewicht, Zustand, Verfügbarkeit, Datum, Materialstandort, Versandoption	—	Kontakt	Abholung, Lieferung
BB-20	Marktplätze	Réempro	Frankreich	Angebotsübersicht, Detailseite	öffentlich	externer Marktplatz	—	Beschreibung, Bilder, Preis, Menge, Bestand, Zustand, Verfügbarkeit, Datum, Materialstandort	—	Anfrage, Warenkorb, Zahlung	Abholung
BB-21	Marktplätze	Skop Marketplace	Frankreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Bilder, Preis, Menge, Bestand, Maße, Gewicht, Material, Zustand, Farbe, Marke, Verfügbarkeit, Datum, Materialstandort, Herkunft, Anbieterangabe	Kategorien, Suche, Filter, Suchbenachrichtigung, Verkäuferverzeichnis	Anfrage, Warenkorb	Abholung
BB-22	Marktplätze	Gebruiktebouwmaterialen	Niederlande	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Bilder, Artikelnummer, Preis, Bestand, Maße, Zustand, Marke, Versandoption	Kategorien	Warenkorb	Abholung, Lieferung
BB-23	Marktplätze	Insert Marketplace	Niederlande	Angebotsübersicht, Detailseite, Karte/GIS	öffentlich	Website	—	Beschreibung, Preis, Menge, Maße, Zustand, Farbe, Varianten, Marke, Materialstandort	Kategorien, Suche, Filter, Merkliste, Verkäuferverzeichnis	Kontakt	—
BB-24	Marktplätze	ReSource Marktplaats	Niederlande	Katalog	n. p.	App	—	n. p.	n. p.	Kauf	n. p.
BB-26	Marktplätze	Baumatpool.ch	Schweiz	Angebotsübersicht	öffentlich	Website	—	Beschreibung, Bilder, Artikelnummer, Preis, Menge, Bestand, Maße, Material, Marke, Verfügbarkeit, Materialstandort, Versandoption, Anbieterangabe, Gewährleistung	Kategorien, Suche, Filter, Merkliste, Suchbenachrichtigung	Bestellung, Zahlung	Abholung, Lieferung
BB-38	Marktplätze	REUZI	Schweiz	Angebotsübersicht, Katalog	Mitgliedschaft	Website	—	Beschreibung, Menge, Maße, Material	n. p.	Reservierung	n. p.
BB-39	Marktplätze	Salza	Schweiz	Angebotsübersicht	öffentlich	Website	—	n. p.	Suche, Filter, Merkliste, Suchbenachrichtigung	Kontakt	direkte Übergabe
BB-41	Marktplätze	useagain / Bauteilclick	Schweiz	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Artikelnummer, Preis, Menge, Maße, Verfügbarkeit, Materialstandort	Kategorien, Suche, Filter, Merkliste, Suchbenachrichtigung, Verkäuferverzeichnis	Warenkorb	Abholung
BB-43	Marktplätze	Building Spares Market	Vereinigtes Königreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Preis, Menge, Maße, Datum, Materialstandort	—	Kontakt	—
BB-44	Marktplätze	Enviromate	Vereinigtes Königreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Bilder, Preis, Menge, Maße, Material, Datum, Materialstandort, Versandoption, Anbieterangabe	Kategorien, Suche, Filter, Merkliste	Anfrage, Kauf	Abholung, Lieferung
BB-45	Marktplätze	Globechain	Vereinigtes Königreich	Angebotsübersicht	Mitgliedschaft	Website	—	n. p.	Suchbenachrichtigung	Anfrage	Abholung, Lieferung
BB-46	Marktplätze	Material Index	Vereinigtes Königreich	n. p.	n. p.	Website	—	n. p.	n. p.	n. p.	n. p.
BB-47	Marktplätze	SalvoWEB	Vereinigtes Königreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Preis, Materialstandort, Anbieterangabe	Kategorien, Suche, Filter, Suchbenachrichtigung, Verkäuferverzeichnis	Kontakt, Kauf	Abholung, Lieferung
BB-48	Marktplätze	Surplus Building & Plumbing Materials	Vereinigtes Königreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Artikelnummer, Preis, Menge, Materialstandort, Versandoption, Anbieterangabe	Kategorien	Warenkorb, Zahlung	Abholung, Lieferung
BB-49	Marktplätze	Sustainability Yard	Vereinigtes Königreich	Angebotsübersicht, Detailseite	öffentlich	Website, App	—	Beschreibung, Bilder, Preis, Rabatt, Bestand, Maße, Gewicht, Material, Zustand, Marke, Verfügbarkeit, Datum, Materialstandort	Filter	Anfrage, Zahlung	Abholung, Lieferung
BB-01	Depots / Shops	BatiTerre	Belgien	Angebotsübersicht, Detailseite	öffentlich	Website	Standort	Bilder, Preis, Maße, Zustand, Varianten, Materialstandort	Kategorien, Filter	Kontakt, Warenkorb	Lieferung
BB-02	Depots / Shops	Cornermat / Retrival	Belgien	Angebotsübersicht, Detailseite	öffentlich	Website	Standort	Beschreibung, Preis, Maße, Gewicht, Zustand, Marke, Verfügbarkeit	Kategorien	Kontakt, Reservierung, Zahlung	Abholung, Lieferung
BB-04	Depots / Shops	RotorDC	Belgien	Angebotsübersicht, Detailseite	öffentlich	Website	Standort	Bilder, Barcode, Preis, Bestand, Maße, Gewicht, Herkunft	Kategorien, Filter	Warenkorb, stationärer Kauf	—
BB-05	Depots / Shops	Bauteilbörse Bremen	Deutschland	Angebotsübersicht, Katalog	öffentlich	Website	Standort	Artikelnummer, Preis, Menge, Maße, Material	Kategorien, Suche, Merkliste	—	Abholung
