law	maximum	maximum_plus_one	expectation
event-bytes	1024	1025	limit-exceeded
encoded-event-bytes	1051	1052	limit-exceeded-before-copy
page-bytes	1033	1034	limit-exceeded-before-copy
retained-poll-items	1	2	one-retained
acknowledgements	64	65	closed
critical-events	32	33	closed
latest-events	32	33	closed
listeners	64	65	rejected
pending-frame	1	2	coalesced
semantic-items-per-grant	1	2	one-advanced
semantic-bytes-per-grant	1	2	one-inspected
in-flight-clipboard	1	2	busy
canvas-id	4294967295	4294967296	rejected
listener-generation	4294967295	4294967296	generation-exhausted
