# name	operation	generation	body_hex	outcome
create	1825	1	010001000000010000000100000080020000e00100000000c03f	created
resize	1826	1	01010000000100000000050000d002000000000040	resized
frame	1827	1	010100000001000000070000000000000003000000aabbcc	frameAccepted
surface-loss	1828	1	01010000000100000001	lost
recover	1829	1	010100000001000000	recovered
device-loss	1828	2	01010000000200000002	lost
stale-frame	1827	1	010100000001000000080000000000000000000000	rejected
drop	1830	2	010100000002000000	dropped
zero-create	1825	1	010002000000020000000100000000000000000000000000803f	created
unsupported-replacement	1825	3	010303000000030000000300000020030000580200000000803f	rejected
