MIME,Extension,Name,FullName,Neutral,Dir
model/gltf-binary,.glb,GLB,GL Transmission Format Binary,MeshData,🧊️glb
model/gltf+json,.gltf,GLTF,GL Transmission Format JSON,MeshData,🧊️gltf
model/stl,.stl,STL,Stereolithography,MeshData,🟪️stl
model/obj,.obj,OBJ,Wavefront Object,MeshData,🧊️obj
model/ply,.ply,PLY,Polygon File Format,MeshData,☁️ply
application/vnd.las,.las,LAS,ASPRS LAS Point Cloud,MeshData,☁️las
model/step,.step,STEP,ISO 10303 STEP,Brep,📐️step
application/x-ifc,.ifc,IFC,Industry Foundation Classes,Brep,🏗️ifc
image/vnd.dwg,.dwg,DWG,Drawing,DwgDrawing,🖊️dwg
image/vnd.dxf,.dxf,DXF,Drawing Exchange Format,DwgDrawing,🖊️dxf
image/svg+xml,.svg,SVG,Scalable Vector Graphics,DwgDrawing,🎨️svg
image/png,.png,PNG,Portable Network Graphics,RasterImage,📷️png
image/jpeg,.jpg,JPEG,Joint Photographic Experts Group,RasterImage,📷️jpg
image/gif,.gif,GIF,Graphics Interchange Format,RasterImage,🎞️gif
image/bmp,.bmp,BMP,Bitmap,RasterImage,🖼️bmp
image/tiff,.tiff,TIFF,Tagged Image File Format,RasterImage,🖼️tiff
application/pdf,.pdf,PDF,Portable Document Format,PageDoc,📄️pdf
application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx,DOCX,Office Open XML Word,PageDoc,📜️docx
application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx,PPTX,Office Open XML PowerPoint,PageDoc,🎞️pptx
text/csv,.csv,CSV,Comma-Separated Values,TableDoc,📊️csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx,XLSX,Office Open XML Excel,TableDoc,📕️xlsx
text/markdown,.md,Markdown,Markdown Text,TextDoc,📝️md
text/plain,.txt,Text,Plain Text,TextDoc,📄txt
application/zip,.zip,ZIP,Zip Archive,Archive,🎒️zip
application/vnd.bcf+xml,.bcf,BCF,BIM Collaboration Format,Archive,💬️bcf
application/json,.json,JSON,JavaScript Object Notation,Value,🔣️json
